,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating
15621,Residential Plot,Kothapet,316.0,6111,5175,Resale,0.0
15622,2 BHK Independent House,Shamirpet,27.5,3293,835,Under Construction,0.0
15623,2 BHK Apartment,Temple Alwal,48.0,4000,1200,Under Construction,0.0
15624,3 BHK Apartment,Old Alwal,60.0,4026,1490,Ready to move,0.0
15625,3 BHK Apartment,Tellapur,73.0,5097,1432,Under Construction,0.0
15626,3 BHK Independent House,Beeramguda Road,75.0,4166,1800,Ready to move,0.0
15627,3 BHK Apartment,Kukatpally,118.0,6130,1931,Under Construction,0.0
15628,3 BHK Independent House,Kukatpally,120.0,6185,1940,Ready to move,4.0
15629,2 BHK Apartment,Tellapur,75.0,6493,1155,Ready to move,4.9
15630,Residential Plot,Bhongir,24.0,1333,1800,New,4.9
15631,3 BHK Apartment,Gachibowli,73.42,5200,1412,Under Construction,4.9
15632,Residential Plot,Kollur,25.88,1722,1503,New,4.9
15633,Residential Plot,Kollur,34.41,1722,1998,New,4.9
15634,Residential Plot,Kollur Village,31.0,1722,1800,New,4.9
15635,Residential Plot,Kollur,34.41,1722,1998,New,2.2
15636,Residential Plot,Kollur,31.0,1722,1800,New,4.5
15637,Residential Plot,Kollur,25.88,1722,1503,New,4.5
15638,3 BHK Apartment,Manikonda,160.0,6652,2405,Ready to move,4.5
15639,Residential Plot,Ibrahimpatnam,20.0,2000,1000,New,4.5
15640,2 BHK Apartment,Bachupally,37.0,3814,970,Under Construction,0.0
15641,Residential Plot,Medchal,16.9,1444,1170,New,4.8
15642,Residential Plot,Gandi Maisamma,36.0,2000,1800,Resale,4.8
15643,Residential Plot,Kothapet,316.0,6111,5175,Resale,3.4
15644,2 BHK Independent House,Shamirpet,27.5,3293,835,Under Construction,5.0
15645,2 BHK Apartment,Temple Alwal,48.0,4000,1200,Under Construction,4.3
15646,3 BHK Apartment,Kukatpally,118.0,6130,1931,Under Construction,4.8
15647,3 BHK Independent House,Kukatpally,120.0,6185,1940,Ready to move,0.0
15648,2 BHK Apartment,Tellapur,75.0,6493,1155,Ready to move,0.0
15649,3 BHK Apartment,Gachibowli,73.42,5200,1412,Under Construction,0.0
15650,Residential Plot,Kollur,62.0,1722,3600,New,4.8
15651,Residential Plot,Kollur,25.88,1722,1503,New,4.8
15652,Residential Plot,Kollur,34.41,1722,1998,New,4.8
15653,Residential Plot,Kollur Village,31.0,1722,1800,New,4.8
15654,Residential Plot,Kollur,31.0,1722,1800,New,4.8
15655,3 BHK Apartment,Manikonda,160.0,6652,2405,Ready to move,4.0
15656,Residential Plot,Mucherla,16.0,444,3600,New,4.6
